Date,S&P U.S. Treasury Bond Index
2019-08-29,458.06
2019-08-30,458.2
2019-09-03,458.8
2019-09-04,459.35
2019-09-05,456.6
2019-09-06,457.21
2019-09-09,455.11
2019-09-10,452.65
2019-09-11,452.4
2019-09-12,451.52
2019-09-13,448.63
2019-09-16,450.2
2019-09-17,451.02
2019-09-18,451.28
2019-09-19,451.48
2019-09-20,453.21
2019-09-23,453.58
2019-09-24,455.29
2019-09-25,453.13
2019-09-26,453.91
2019-09-27,454.39
2019-09-30,454.81
2019-10-01,455.73
2019-10-02,456.6
2019-10-03,458.3
2019-10-04,458.96
2019-10-07,457.8
2019-10-08,458.43
2019-10-09,457.56
2019-10-10,455.48
2019-10-11,453.59
2019-10-15,452.96
2019-10-16,453.47
2019-10-17,453.21
2019-10-18,453.44
2019-10-21,452.38
2019-10-22,453.07
2019-10-23,453.16
2019-10-24,453.03
2019-10-25,452.28
2019-10-28,451.31
2019-10-29,451.44
2019-10-30,453.07
2019-10-31,455.11
2019-11-01,454.52
2019-11-04,453
2019-11-05,451.45
2019-11-06,452.33
2019-11-07,449.85
2019-11-08,449.39
2019-11-12,450.1
2019-11-13,450.98
2019-11-14,452.42
2019-11-15,452.11
2019-11-18,452.62
2019-11-19,453.3
2019-11-20,454.56
2019-11-21,453.75
2019-11-22,453.73
2019-11-25,454.07
2019-11-26,454.77
2019-11-27,454.07
2019-11-29,454.03
2019-12-02,452.79
2019-12-03,455.5
2019-12-04,454.21
2019-12-05,453.57
2019-12-06,452.69
2019-12-09,453
2019-12-10,452.72
2019-12-11,453.84
2019-12-12,451.61
2019-12-13,453.32
2019-12-16,452.12
2019-12-17,452.11
2019-12-18,451.26
2019-12-19,451.49
2019-12-20,451.54
2019-12-23,451.28
2019-12-24,451.93
2019-12-26,452.14
2019-12-27,452.64
2019-12-30,452.49
2019-12-31,451.62
2020-01-02,452.76
2020-01-03,454.69
2020-01-06,454.21
2020-01-07,453.73
2020-01-08,452.94
2020-01-09,453.17
2020-01-10,454.04
2020-01-13,453.7
2020-01-14,454.37
2020-01-15,455.17
2020-01-16,454.69
2020-01-17,454.03
2020-01-21,455.48
2020-01-22,455.77
2020-01-23,456.59
2020-01-24,457.65
2020-01-27,459.78
2020-01-28,458.74
2020-01-29,460.19
2020-01-30,460.33
2020-01-31,461.89
2020-02-03,461.66
2020-02-04,459.77
2020-02-05,458.41
2020-02-06,458.79
2020-02-07,460.32
2020-02-10,460.95
2020-02-11,460.18
2020-02-12,459.46
2020-02-13,459.81
2020-02-14,460.34
2020-02-18,461.29
2020-02-19,461.21
2020-02-20,462.26
2020-02-21,463.57
2020-02-24,466.13
2020-02-25,467.16
2020-02-26,466.74
2020-02-27,468.5
2020-02-28,472.45
2020-03-02,471.52
2020-03-03,475.23
2020-03-04,474.32
2020-03-05,477.44
2020-03-06,482.67
2020-03-09,486.31
2020-03-10,479.47
2020-03-11,478.05
2020-03-12,476.77
2020-03-13,473.71
2020-03-16,481.1
2020-03-17,473.05
2020-03-18,468.06
2020-03-19,468.7
2020-03-20,477.15
2020-03-23,482.44
2020-03-24,480.73
2020-03-25,480.57
2020-03-26,481.77
2020-03-27,485.1
2020-03-30,484.56
2020-03-31,484.34
2020-04-01,485.89
2020-04-02,486.4
2020-04-03,486.74
2020-04-06,485.67
2020-04-07,484.88
2020-04-08,484.04
2020-04-09,484.66
2020-04-13,483.77
2020-04-14,484.15
2020-04-15,487.36
2020-04-16,488.41
2020-04-17,486.86
2020-04-20,487.91
2020-04-21,489.28
2020-04-22,488
2020-04-23,488.56
2020-04-24,488.8
2020-04-27,486.65
2020-04-28,488.2
2020-04-29,487.82
2020-04-30,486.75
2020-05-01,487.37
2020-05-04,487.16
2020-05-05,486.55
2020-05-06,484.95
2020-05-07,487.28
2020-05-08,485.8
2020-05-11,484.77
2020-05-12,486
2020-05-13,486.8
2020-05-14,487.8
2020-05-15,487.48
2020-05-18,484.91
2020-05-19,485.64
2020-05-20,485.84
2020-05-21,486.15
2020-05-22,486.6
2020-05-26,485.5
2020-05-27,485.37
2020-05-28,485.03
2020-05-29,485.95
2020-06-01,485.41
2020-06-02,484.91
2020-06-03,483.09
2020-06-04,481.5
2020-06-05,480.22
2020-06-08,480.63
2020-06-09,482.11
2020-06-10,484.29
2020-06-11,486.04
2020-06-12,485
2020-06-15,485.05
2020-06-16,483.65
2020-06-17,484.05
2020-06-18,485.12
2020-06-19,485.18
2020-06-22,485.18
2020-06-23,484.63
2020-06-24,485.76
2020-06-25,485.95
2020-06-26,487.19
2020-06-29,487.17
2020-06-30,486.62
2020-07-01,486.2
2020-07-02,486.5
2020-07-06,486
2020-07-07,487.49
2020-07-08,487.02
2020-07-09,488.66
2020-07-10,487.93
2020-07-13,488.41
2020-07-14,488.49
2020-07-15,488.11
2020-07-16,488.64
2020-07-17,488.4
2020-07-20,488.69
2020-07-21,488.9
2020-07-22,489.14
2020-07-23,490.18
2020-07-24,490.16
2020-07-27,489.63
2020-07-28,490.58
2020-07-29,490.67
2020-07-30,491.48
2020-07-31,491.48
2020-08-03,491.1
2020-08-04,492.26
2020-08-05,491.11
2020-08-06,491.66
2020-08-07,490.81
2020-08-10,490.37
2020-08-11,488.88
2020-08-12,487.75
2020-08-13,486.56
2020-08-14,486.38
2020-08-17,486.8
2020-08-18,487.61
2020-08-19,486.96
2020-08-20,487.99
2020-08-21,488.5
2020-08-24,488.15
2020-08-25,487.35
2020-08-26,487.01
2020-08-27,485.25
2020-08-28,485.5
2020-08-31,486.18
2020-09-01,487.49
2020-09-02,488.38
2020-09-03,488.79
2020-09-04,486.38
2020-09-08,487.26
2020-09-09,486.97
2020-09-10,487.52
2020-09-11,487.84
2020-09-14,487.79
2020-09-15,487.57
2020-09-16,487.26
2020-09-17,487.54
2020-09-18,487.1
2020-09-21,487.74
2020-09-22,487.72
2020-09-23,487.86
2020-09-24,488.2
2020-09-25,488.29
2020-09-28,488.1
2020-09-29,488.28
2020-09-30,487.2
2020-10-01,487.42
2020-10-02,486.91
2020-10-05,484.59
2020-10-06,485.27
2020-10-07,484.3
2020-10-08,485.02
2020-10-09,484.78
2020-10-13,486.17
2020-10-14,486.38
2020-10-15,486.16
2020-10-16,485.8
2020-10-19,485.34
2020-10-20,484.38
2020-10-21,483.92
2020-10-22,482.66
2020-10-23,483.27
2020-10-26,484.4
2020-10-27,485.2
2020-10-28,485.31
2020-10-29,484.05
2020-10-30,482.91
2020-11-02,483.63
2020-11-03,482.94
2020-11-04,485.65
2020-11-05,485.83
2020-11-06,484.35
2020-11-09,481.73
2020-11-10,480.94
2020-11-12,483.39
2020-11-13,483.1
2020-11-16,482.89
2020-11-17,483.74
2020-11-18,483.91
2020-11-19,484.48
2020-11-20,485.4
2020-11-23,484.87
2020-11-24,483.96
2020-11-25,483.74
2020-11-27,484.78
2020-11-30,484.75
2020-12-01,482.88
2020-12-02,482.07
2020-12-03,483.1
2020-12-04,481.4
2020-12-07,482.58
2020-12-08,483.05
2020-12-09,482.6
2020-12-10,483.67
2020-12-11,484.25
2020-12-14,484.03
2020-12-15,483.65
2020-12-16,483.36
2020-12-17,483.01
2020-12-18,482.7
2020-12-21,483.12
2020-12-22,483.73
2020-12-23,482.98
2020-12-24,483.42
2020-12-28,483.48
2020-12-29,483.39
2020-12-30,483.62
2020-12-31,483.85
2021-01-04,483.9
2021-01-05,483.01
2021-01-06,480.61
2021-01-07,479.51
2021-01-08,478.88
2021-01-11,478.55
2021-01-12,478.49
2021-01-13,479.7
2021-01-14,478.81
2021-01-15,479.43
2021-01-19,479.87
2021-01-20,479.96
2021-01-21,479.35
2021-01-22,479.68
2021-01-25,481.05
2021-01-26,480.9
2021-01-27,481.25
2021-01-28,480.53
2021-01-29,479.98
2021-02-01,480.2
2021-02-02,479.41
2021-02-03,478.42
2021-02-04,478.21
2021-02-05,477.34
2021-02-08,477.67
2021-02-09,477.78
2021-02-10,478.6
2021-02-11,478.09
2021-02-12,476.72
2021-02-16,474.75
2021-02-17,475.28
2021-02-18,475.07
2021-02-19,473.61
2021-02-22,472.87
2021-02-23,472.81
2021-02-24,472.06
2021-02-25,468.51
2021-02-26,472.27
2021-03-01,471.27
2021-03-02,471.64
2021-03-03,470.1
2021-03-04,469.03
2021-03-05,468.92
2021-03-08,467.76
2021-03-09,469.24
2021-03-10,469.71
2021-03-11,469.27
2021-03-12,466.83
2021-03-15,467.41
2021-03-16,467.22
2021-03-17,466.78
2021-03-18,465.34
2021-03-19,465.63
2021-03-22,466.79
2021-03-23,468
2021-03-24,468.53
2021-03-25,467.97
2021-03-26,467.25
2021-03-29,466.33
2021-03-30,466.54
2021-03-31,466.01
2021-04-01,467.38
2021-04-02,466.43
2021-04-05,466.76
2021-04-06,467.96
2021-04-07,467.47
2021-04-08,468.44
2021-04-09,467.84
2021-04-12,467.67
2021-04-13,468.7
2021-04-14,468.34
2021-04-15,470.2
2021-04-16,469.33
2021-04-19,469.15
2021-04-20,469.91
2021-04-21,470.08
2021-04-22,470.41
2021-04-23,470.04
2021-04-26,469.84
2021-04-27,468.77
2021-04-28,469.09
2021-04-29,468.73
2021-04-30,469.05
2021-05-03,469.32
2021-05-04,469.91
2021-05-05,470.26
2021-05-06,470.4
2021-05-07,470.27
2021-05-10,469.38
2021-05-11,468.77
2021-05-12,467.33
2021-05-13,467.84
2021-05-14,468.65
2021-05-17,468.39
2021-05-18,468.32
2021-05-19,467.7
2021-05-20,468.83
2021-05-21,468.99
2021-05-24,469.45
2021-05-25,470.65
2021-05-26,470.39
2021-05-27,470.19
2021-05-28,470.01
2021-06-01,469.77
2021-06-02,470.05
2021-06-03,469.34
2021-06-04,471.03
2021-06-07,470.74
2021-06-08,471.57
2021-06-09,472.57
2021-06-10,473.43
2021-06-11,473.01
2021-06-14,472.02
2021-06-15,471.95
2021-06-16,470.63
2021-06-17,472.03
2021-06-18,473.66
2021-06-21,472.24
2021-06-22,472.75
2021-06-23,472.22
2021-06-24,472.29
2021-06-25,471.28
2021-06-28,472.46
